Unnamed: 0;Usuario;Texto;compound
73440;Sci4allVienna;#EuropeanResearchersNight #ForschungBegreifen;97.86
70150;DollopMcPhusil;Citizen science opportunity, and help fight ferals;97.86
70152;_UKRO_;In the spotlight today - an inspiring example of inclusive #CitizenScience by @mhaklay @ucl, @ERC_Research ECSAnVis project. \n \n @ERCGrantees;97.86
51105;SDG2030;??THANK YOU ?? @zahidi for your relentless support to SDGs #LeaveNoOneBehind #BuildBackSustainable \n \n ?75K Supporters? \n \n #SDGs need everyone?s commitment, inclusiveness, participation & strong partnerships https://t.co/lOrg7mTQca;97.58
73758;vandenBogaert_V;Ein spannendes Projekt. Eine #Klimamap ist auch für #CitizenScience -Projekte und #OpenScience sehr geeignet. Mit diesem Tweet mag ich @mitforschen und @StadtWitten in Verbindung bringen,;97.4
70930;HeikkiHelle;@AksuLehikoinen @luomus @BirdlifeSuomi @helsinkiuni Tässäpä talvilintulaskentafiiliksiä youtube-pätkän muodossa parin viikon takaisesta laskennasta Keski-Suomessa. #linnustonseuranta #kansalaistiede https://t.co/6ZIfFxEHFZ;97.4
71018;Bazzio101;#OceanPollution \n #saveourfuture \n #plasticpollution;97.4
50500;hbapostbox;In need of inspiration? \n \n Women-led businesses working on the #SDGs, apply now! 10 questions, no pitch decks, every application gets feedback from radically generous women. Selected ventures receive interest free loans. \n \n https://t.co/ytfMg1wGY5 \n \n Deadline November 2nd!;97.38
32160;CHNickerson;@uniquemappers @SciStarter @GLOBEProgram As part of this effort, @SciStarter & @uniquemappers collaborated to create a list of featured #CitizenScience projects! https://t.co/DxT2PlFvlI;97.34
73065;KerryleeRogers_;Woohoo ? ?. My friends in the Vic Coastsl Monitoring Program won the citizen science #EurekaPrize. So deserving @Dr_Dan_I A/prof David Kennedy, Lawrance Ferns, and staff students @DUmarinemapping @unimelb. And of course the citizen scientists ???;97.32
73064;ReinforceEU;Citizens have the potential to substantially contribute to frontier #science. \n The REINFORCE project aims to bring them to the forefront, making them developers of scientific knowledge. \n \n #citizensREINFORCEscience #citsci #citizenscience https://t.co/yhUj5wldCx;97.32
