Texto;Impacto
RT @WalterIsaacson: Usually I get to ask the questions. But this time @camanpour got me talking about how all of us can get involved with citizen science in a small way. And learn to love RNA in the process! @AmanpourCoPBS ... https://t.co/553crfvUFk via @YouTube;89.59
RT @NOAAeducation: Our Education at home resource collection features NOAA resources, like #art activities, background reading, #CitizenScience, mailing lists, #experiments and activities, #curricula, #webinars, #videos, and #podcasts?all in one place! #NOAAResourceOfTheDay https://t.co/LFQ7jdFWgn;89.51
RT @DoNASAScience: Today NASA celebrated #HispanicHeritageMonth. We received a shout out from NASA?s Chief Scientist, Dr. Jim Green who appeared in today?s program ?Hispanics: Be Proud of Your Past, Embrace the Future? \n https://t.co/rtOC17oRkH \n \n #DoNASAscience #citizenscience #MesdelaHerenciaHispana;86.09
RT @nuriaoliver: Grandes diferencias entre la percepción de riesgo de contraer coronavirus y la realidad \n Nos ayudas con tus respuestas? \n https://t.co/5KGdZ4lGcH \n #citizenscience #datascienceagainstCOVID19 https://t.co/vHcjHe4VqN;83.6
RT @nodo20chile: ? #Earthquakes #CitizenScience #rstats \n \n Seguimos de cerca los últimos #sismos en #Chile y el mundo. Pronto estrenaremos un nuevo visor de actividad sísmica. Agradecemos comentarios y críticas, así podemos ir mejorando el prototipo. \n Por ahora un adelanto! \n \n ? @reddeemergencia https://t.co/oOl11gOymM;83.0
RT @raspishakEQ: Preliminary M5.1 #earthquake 70km/43miles from #Jaqui, in #Peru, 2020-10-28 09:02 UTC time by @raspishake network. Join the largest #CitizenScience #seismograph community ?? https://t.co/Y5O0dgJqJF \n EVENT ?? https://t.co/kxFzDcw7z6 https://t.co/YtsKOx5jer;83.0
RT @ismawati64: Join us tomorrow! \n Day-4 Citizen Science Virtual Conference, on Collaboration & Participation, 18.11.2020. \n \n To register: https://t.co/NQc23f2lLY \n \n Opportunities to share in several breakout rooms! \n \n @SEIresearch @ConversationIDN \n #CitizenScience #Collaboration #Participation https://t.co/siL6OWCHpN;82.63
RT @SDG2030: ??THANK YOU ?? @Joselyn_Dumas for your relentless support to SDGs #LeaveNoOneBehind #BuildBackSustainable \n \n ?75K Supporters? \n \n #SDGs need everyone?s commitment, inclusiveness, participation & strong partnerships https://t.co/Z8UK1elrZH;82.4
RT @SDG2030: ??THANK YOU ?? @ShehzadRoy for your relentless support to SDGs #LeaveNoOneBehind #BuildBackSustainable \n \n ?75K Supporters? \n \n #SDGs need everyone?s commitment, inclusiveness, participation & strong partnerships https://t.co/7lf1Al6JP1;82.18
RT @christyzen: This is the best radio of the week: \n \n ?They?re defensive, but in a lackadaisical way.? Entomologists on live-tracking murder hornets and citizen science @scifri ? (16m) \n \n https://t.co/YqePQEDlGb;81.25
RT @AtlBotanical: Bring us your soil samples! ? On Nov. 14 - 15, experts will test up to two of your soil samples for possible heavy metals through Community Science SoilSHOP. Learn more: https://t.co/1TntSMKYf6 https://t.co/m2XUpYY9Gu;80.54
