Texto;Opinion
RT @BSGGoettingen: #CitizenScience in UK makes you jealous again: First the great Hashtag Challenges from @Britnatureguide - & now \n #UKFungusDay from @Love_plants, highlighting the beautiful waxcap grasslands! \n \n Our contribution from Germany: Hygrocybe coccineocrenata & H. helobia \n \n Photo: Fionn Pape https://t.co/jDOvOzVYfb;100.0
RT @Safernoc934: If you are looking for a place to visit ?great? i.e. champion trees then browse the Tree Register of the British Isles simple map https://t.co/8FhFB7PnLk @KewScience Its a fantastic citizen science resource https://t.co/7Q5cLIQcXb;100.0
RT @Love_plants: #Fungi webinar now underway from Magnificent Meadows Wales team features fungi expert Hywel Evans, Bruce Langridge, Head of Interpretation from the National Botanic Garden of Wales & \n Plantlife?s Joe Bullard sharing news on launch of the new #CitizenScience app > WaxcApp! https://t.co/nVkseQRDgw;100.0
RT @HeinzVHoenen: #SDGs #education #schools \n \n Finland Is Designing The Perfect School \n \n TY, MT @ShiCooks & @FrRonconi cc @chboursin \n https://t.co/zHA0i248H6;100.0
RT @EuroScience: Being part of the region, @Euroscience is proud to announce that the region Grand Est, has set up the Grand E-nov regional innovation agency to promote innovation by supporting R&I projects ? https://t.co/kQQX0YwIur \n #RRI @regiongrandest #citizenscience https://t.co/BmOWRLFpcf;100.0
RT @UNECOSOC: If we are to recover better after #COVID19 & achieve the #SDGs & climate goals, ?the application & absorption of new technologies in the development paradigm is indispensable. Indeed, it is imperative.? #RecoverBetter @PakistanPR_UN @PakistanUN_NY https://t.co/A5SszR2nN8 https://t.co/g2dH3el309;100.0
RT @outdoor_ed: Sneak Peek! Our @wrdsb Winter Bird Count ID Key will be available on Dec 1st along with great resources for teachers: https://t.co/C64SZ4dPWe Help us track bird populations in @RegionWaterloo with the power of #CitizenScience! @BirdsCanada https://t.co/qccT3vbWAU;100.0
RT @GSBioblitz: The Great Southern Bioblitz has a first for @iNaturalist ?Phreatoicopsis raffae? \n an endagered isopod! \n \n https://t.co/QyHHwahggp \n \n Great work by ©smellmes who is new to iNat \n @BushHeritageAus @atlaslivingaust #biodiversity #CitizenScience @CitSciOZ @museumsvictoria #wildoz https://t.co/GzDumO1d98;100.0
RT @OU_WELS: Great news: Citizen science project nQuire from @IETatOU was the Research Impact winner at the 2020 @guardian University Awards. \n \n nQuire is unique in involving the public at every stage of its scientifically structured investigations. \n More: https://t.co/u52vsIjAzp \n \n @herodotouc;100.0
RT @josh_NFM: With funding secured from @NaturalEngland and the Ferens Education Trust, @EEIatHull are using #DeepLearning and #CitizenScience to map #hedgerow gaps for potential future planting. Click here to find out more: https://t.co/XnQBcxMdeV https://t.co/LJE0eGloGR;100.0
