Texto;compound
RT @Cianjo_AA: Love your coast? What coastal structures are there? Maybe a #quay,#seawall, #breakwater, #lighthouse? Put your structure on our #citizenscience map! https://t.co/RDed8w3Zl7 \n #seaswim #IrishSea #BikeWeek2020 #Coast https://t.co/stDuommgiO;98.34
RT @TheBushFundi: Work hard, stay fit and this is how you could be spending your Monday mornings in retirement #CitizenScience #Biodiveristy #CapeTown https://t.co/iYrQX4rBTX;97.97
RT @OpenLitterMap: New blog post. #OpenLitterMap webapp is now open source. Mobile app, #openlitterai #littercoin smart contracts #olm2qgis integrations and more coming soon-ish! https://t.co/RlEyNAqQPN #opensource #litter #opendata #citizenscience #laravel #vue #reactnative #plasticpollution;97.97
RT @APC_Laboratory: Partner of @UnivEarthS, we will talk of our involment in open data practices and in citizen science initiatives on astrophysics projects such as @ego_virgo, @LIGO, @gammapyST, #Taranis, @ReinforceEU and more. \n \n To attend this free online event: https://t.co/pXCXSAYXgx;97.78
RT @yourriverwood: Our first ever #BioBlitz starts tomorrow! The month-long event gives you the opportunity to explore Riverwood, contribute to citizen science, and maybe even win a prize for your efforts. Watch our kickoff webinar tomorrow at at 10:30 a.m. for the details! https://t.co/1wtAEJiSsr;97.78
RT @starryneutrons: 34. One of #GhislaineMaxwell?s goals was to ban plastics. Check out this long list! \n \n Sci Starter (https://t.co/n0phDfYWXp) shared their citizen science database with her project. She closed her site, but here is an archive from April 2019. \n \n https://t.co/csbSqABMBB;97.78
RT @josemmontalva: ??About the picture of Bombus dahlbomii drinking sap we uploaded the other day. Well, now we have a video, thanks to Colmenares Panguilemu #citizenscience .@SNAbejorro @SaveWildBees @DaveGoulson @CorySilas @leifr7 @Bumble_Watching @OliverPrysJones @xercessociety @hol https://t.co/MrXIPh8lIw;97.63
RT @SDG2030: ??THANK YOU ?? @adriangrenier @lonelywhale for your relentless support to SDGs #LeaveNoOneBehind #BuildBackSustainable \n \n ?75K Supporters? \n \n #SDGs need everyone?s commitment, inclusiveness, participation & strong partnerships https://t.co/hKHKnFqe9N;97.58
RT @NikeVerena: Historiadora, mamá, alemana con un gran ? español (mi chico, mi hijo y mis amigas). El lugar de los niños en esta pandemia me da muchísima ?.Para transformar mi enfado en algo positivo, he creado #arcovkids, proyecto de ciencia ciudadana sobre la infancia en tiempos COVID en ??;97.5
RT @MarineGOfficial: #GlobalWarming: [Expedition] Iceland unveiled a plaque \n « 420 ppm CO2, record level of carbon dioxide concentration recorded, May 2020 » in the Okjökull glacier?s memory. ?? \n Polar Bear will disappear by 2100 & #Bees by 2035 if we don?t #resist ? #ClimateChange #Conservation #SDGs https://t.co/zy6z3BlP5m;97.29
