Usuario;Texto;Opinion
gmrpetricca;@raspishakEQ @raspishake 2020-10-20 M5.6 11 km SSW Álftanes,#Iceland #earthquake detected by my #Stornoway #Scotland #seismometer \n \n Signal: strong, clear P and S wave arrival \n \n Dist.: 1060.4km \n Travel Time: 2m 14.7s \n Depth: 10.0km \n \n #Pytho;100.0
claugobel;@DavidNind @SiobhanLeachman But also we need new infrastructures to develop the fields of #openscience & #CitizenScience further, esp. more open infrastructures that are co-designed with communities, to use the potential of opening up research. & #GLAM ar;100.0
urban_migration;??On #WorldCitiesDay aiming at enhancing sustainable urban development, discover the Targeted City Action ?Nador??Social & Sustainable? targeting 3 #SDGs: \n \n ?Promote diversity \n ?Ensure access to information & non-discriminatory laws \n ?Promote public & civil society partnerships https://t.co/Dz4tu8U7YA;100.0
CCPGames;?These are things that our people really enjoy, and this really is for the greater good.? \n \n -David Ecker, @eveonline Lead Producer \n \n #ProjectDiscovery #ccpgames #tweetfleet #fightcovid19 #citizenscience \n \n https://t.co/GCTxSsqRGJ;100.0
HGreenspace;?Are you looking for calm and quietness? ? \n Hush City is a citizen science application, which allows members of the public to identify quiet areas where they find peace and tranquility. \n #noisepollution #urban #citizenscience https://t.co/dkr0ZawNr7 \n \n https://t.co/ZnoNrAHwOS;100.0
UmeshPansari1;#Polio vaccine is the elixir. We have commitment to secure every single #child. \n We are proud to become #NSS volunteers. \n #SDGs #UnitedNations #UN75 #UNICEF @_NSSIndia https://t.co/kJ0tZNPlJc;100.0
3Dinfo5;We were happy to launch the fall/winter program of the Digital Development Dialogue (3D) on the topic of gender equality with two extraordinary experts ? Michelle Bachelet and Amartya Sen. #genderequity #sdgs #development #ohchr @uniGoettingen https://t.co/kWCOFTLvFi;100.0
SciStarter;Thank you @PBudBurst! What a wonderful week! ? Big welcome to @CitSci_Geek host of the upcoming week! ?;100.0
OptoLia;?As often as you can, step down from the mantle of the expert ? it?s bloody lonely up there ? and don?t forget that not everyone has a smartphone or access to your methods, data or academic literature.? \n Great article on citizen science by Dr Erinma Ochu @erinmaochu ?;100.0
patoatcurrie;It?s great to see my @CCRESnet pal @petemumby (also w/ @GBRFoundation @UQscience) involved in this @citizensGBR #GBR #citizenscience study https://t.co/OlCDNtNQU4 Good luck! #SDG14 #coralreefs;100.0
MirandaIHiller;Working on the Citizen Science Research Project at SGI has really opened my eyes to the many wonderful applications of Citizen Science. This article is only one example of its importance. ?@shegrowsit? #SGItakeover https://t.co/TQb4cyejOC;100.0
